fecha,precio
2015-02-11,70.0
2015-02-12,70.0
2015-02-13,74.0
2015-02-16,72.5
2015-02-17,74.9
2015-02-18,76.87
2015-02-19,77.15
2015-02-20,78.0
2015-02-23,77.77
2015-02-24,77.5
2015-02-25,78.13
2015-02-26,80.64
2015-02-27,83.06
2015-03-02,82.5
2015-03-03,82.0
2015-03-04,83.48
2015-03-05,84.61
2015-03-06,84.9
2015-03-09,85.05
2015-03-10,83.0
2015-03-11,80.44
2015-03-12,81.3
2015-03-13,81.5
2015-03-16,80.5
2015-03-17,80.0
2015-03-18,79.94
2015-03-19,79.1
2015-03-20,80.25
2015-03-23,80.8
2015-03-24,81.95
2015-03-25,80.35
2015-03-26,80.66
2015-03-27,84.0
2015-03-30,89.5
2015-03-31,93.51
2015-04-01,97.49
2015-04-02,99.6
2015-04-07,97.95
2015-04-08,94.9
2015-04-09,94.5
2015-04-10,99.42
2015-04-13,98.5
2015-04-14,92.61
2015-04-15,90.37
2015-04-16,90.2
2015-04-17,90.5
2015-04-20,88.5
2015-04-21,89.7
2015-04-22,88.5
2015-04-23,86.65
2015-04-24,86.1
2015-04-27,88.95
2015-04-28,86.8
2015-04-29,82.55
2015-04-30,83.91
2015-05-04,88.52
2015-05-05,86.45
2015-05-06,86.97
2015-05-07,85.76
2015-05-08,87.5
2015-05-11,88.35
2015-05-12,88.6
2015-05-13,89.16
2015-05-14,93.76
2015-05-15,94.3
2015-05-18,94.7
2015-05-19,94.35
2015-05-20,93.28
2015-05-21,93.3
2015-05-22,92.25
2015-05-25,90.3
2015-05-26,91.51
2015-05-27,94.79
2015-05-28,96.75
2015-05-29,95.4
2015-06-01,95.4
2015-06-02,94.0
2015-06-03,95.27
2015-06-04,94.36
2015-06-05,94.21
2015-06-08,93.98
2015-06-09,95.02
2015-06-10,95.49
2015-06-11,95.9
2015-06-12,94.69
2015-06-15,93.15
2015-06-16,95.75
2015-06-17,93.77
2015-06-18,92.35
2015-06-19,94.75
2015-06-22,95.9
2015-06-23,95.55
2015-06-24,95.25
2015-06-25,93.1
2015-06-26,94.4
2015-06-29,92.5
2015-06-30,93.74
2015-07-01,93.05
2015-07-02,90.78
2015-07-03,94.09
2015-07-06,94.5
2015-07-07,92.24
2015-07-08,93.76
2015-07-09,94.05
2015-07-10,95.7
2015-07-13,98.17
2015-07-14,98.92
2015-07-15,100.35
2015-07-16,99.8
2015-07-17,99.23
2015-07-20,98.4
2015-07-21,98.0
2015-07-22,98.0
2015-07-23,97.75
2015-07-24,99.5
2015-07-27,101.55
2015-07-28,103.3
2015-07-29,100.8
